Combination,Count,Dates
1-10-18-24-35-36,1,27/09/2024
1-11-14-26-27-37,1,31/05/2024
1-11-20-25-27-42,1,30/09/2024
1-12-15-19-25-27,1,29/07/2024
1-17-18-36-42-44,1,14/10/2024
1-3-4-9-18-20,1,14/06/2024
1-6-17-19-24-28,1,05/08/2024
10-11-16-21-27-44,1,08/07/2024
10-13-19-27-29-36,1,12/06/2024
10-16-26-28-35-37,1,22/07/2024
11-13-14-29-35-38,1,07/08/2024
11-15-29-38-42-43,1,23/08/2024
11-24-28-35-37-45,1,21/06/2024
13-14-19-22-23-35,1,05/06/2024
15-17-28-29-37-39,1,26/06/2024
15-19-20-24-33-38,1,19/08/2024
15-24-32-35-37-44,1,02/09/2024
16-17-20-21-30-43,1,09/08/2024
16-21-26-34-36-42,1,10/06/2024
16-21-27-28-30-39,1,02/08/2024
17-19-26-27-32-42,1,12/08/2024
19-21-27-33-41-43,1,19/07/2024
2-11-21-26-30-45,1,12/07/2024
2-15-20-24-37-40,1,16/08/2024
2-17-23-31-33-41,1,31/07/2024
2-4-11-29-30-34,1,17/07/2024
2-4-18-23-24-30,1,18/09/2024
2-6-11-16-23-43,1,05/07/2024
2-7-9-10-25-36,1,24/05/2024
23-26-29-35-42-43,1,28/06/2024
3-14-33-40-43-45,1,02/10/2024
3-16-20-21-32-36,1,22/05/2024
3-16-27-28-40-44,1,24/07/2024
3-20-25-41-43-44,1,19/06/2024
3-5-15-24-36-44,1,21/08/2024
3-7-24-28-38-44,1,17/06/2024
3-9-25-30-31-35,1,20/05/2024
4-15-20-30-31-36,1,16/09/2024
4-16-21-25-30-31,1,03/07/2024
4-28-29-30-37-42,1,18/10/2024
4-5-16-20-22-26,1,06/09/2024
4-5-27-36-39-41,1,27/05/2024
4-8-12-16-27-43,1,09/09/2024
4-8-9-23-39-41,1,14/08/2024
5-12-13-14-17-31,1,11/10/2024
5-20-25-26-39-42,1,16/10/2024
5-24-26-32-33-44,1,03/06/2024
5-25-26-32-38-45,1,26/08/2024
5-7-10-22-34-44,1,07/06/2024
5-7-11-13-15-29,1,01/07/2024
5-7-21-26-31-44,1,10/07/2024
5-7-9-11-29-40,1,29/05/2024
5-8-12-17-29-41,1,24/06/2024
6-11-14-22-27-35,1,20/09/2024
6-12-13-16-21-25,1,04/10/2024
6-14-21-32-36-42,1,30/08/2024
6-19-21-35-41-44,1,11/09/2024
6-7-24-27-36-41,1,13/09/2024
6-8-14-18-25-26,1,15/07/2024
7-11-23-33-36-43,1,23/09/2024
7-13-14-29-39-43,1,09/10/2024
7-8-12-22-32-43,1,28/08/2024
9-12-16-17-39-44,1,25/09/2024
9-15-17-25-37-40,1,07/10/2024
9-22-27-29-36-40,1,26/07/2024
9-22-31-35-42-45,1,04/09/2024
