Combination,Count,Dates
9-25-29-35-39-43,1,12/06/2023
1-10-12-27-33-39,1,05/02/2007
1-10-13-15-22-45,1,27/11/2023
1-10-13-18-39-43,1,29/10/2012
1-10-18-20-41-45,1,28/05/2007
1-10-21-22-26-32,1,18/04/2016
1-11-18-29-37-45,1,17/11/2008
1-11-20-26-40-44,1,14/05/2012
1-11-23-28-35-37,1,05/06/2023
1-11-23-31-35-38,1,16/10/2006
1-12-20-24-39-45,1,11/12/2006
1-12-20-26-35-42,1,10/10/2011
1-13-14-15-19-24,1,23/12/2013
1-13-16-25-39-45,1,19/10/2020
9-15-20-27-38-39,1,03/03/2008
9-15-17-28-36-38,1,27/08/2007
9-15-17-19-39-45,1,21/12/2009
9-14-28-31-37-38,1,06/06/2011
9-14-17-25-30-41,1,06/12/2021
9-14-16-18-24-33,1,11/03/2013
9-14-15-25-28-30,1,26/01/2015
9-14-15-18-31-43,1,21/03/2016
9-14-15-16-22-25,1,24/03/2008
9-13-32-38-43-44,1,05/12/2011
9-13-22-32-39-45,1,27/12/2021
9-13-22-26-29-35,1,11/04/2016
9-13-19-29-39-42,1,08/07/2013
9-13-18-20-40-43,1,30/07/2012
9-13-17-24-32-43,1,04/12/2017
9-13-16-38-39-41,1,27/11/2017
1-23-31-36-39-44,1,09/12/2013
1-21-23-24-29-36,1,12/08/2013
1-20-32-43-44-45,1,18/12/2017
1-20-21-30-36-41,1,06/05/2019
1-2-5-7-30-38,1,31/08/2020
1-2-5-12-26-36,1,20/05/2019
1-2-4-15-23-37,1,20/08/2012
1-2-4-13-27-41,1,23/04/2007
1-2-33-39-41-45,1,13/04/2020
1-2-3-4-34-36,1,23/01/2023
1-2-3-16-30-45,1,26/11/2018
1-2-3-14-20-35,1,19/03/2007
1-2-3-12-13-41,1,14/07/2008
1-2-21-26-32-40,1,06/05/2024
1-2-18-19-25-42,1,21/06/2010
1-2-12-27-38-45,1,20/12/2010
1-4-13-20-33-39,1,20/06/2022
1-4-13-19-23-44,1,18/09/2023
1-4-13-14-39-44,1,05/08/2013
1-4-12-33-39-44,1,05/11/2012
1-4-12-17-24-40,1,03/08/2020
1-4-11-21-29-43,1,19/12/2011
1-3-5-16-32-41,1,21/08/2023
1-3-20-24-29-33,1,13/07/2015
1-3-19-27-29-30,1,27/10/2008
1-3-16-32-37-45,1,03/06/2013
1-3-14-22-24-34,1,23/07/2012
1-3-10-13-14-19,1,30/03/2020
1-3-10-12-22-26,1,16/05/2011
1-26-29-33-38-45,1,26/12/2011
1-24-30-37-44-45,1,08/06/2009
1-24-30-31-32-40,1,06/09/2021
1-5-7-27-34-42,1,23/10/2006
1-5-7-10-24-35,1,17/11/2014
1-5-7-10-11-27,1,02/05/2011
1-5-25-28-36-42,1,15/02/2021
1-5-20-21-30-31,1,10/01/2011
1-5-18-22-28-30,1,21/05/2007
1-5-17-22-27-35,1,09/06/2008
1-5-16-18-24-38,1,26/09/2016
1-5-12-18-29-44,1,19/04/2021
1-4-8-18-22-35,1,21/09/2020
1-4-7-10-16-20,1,26/07/2010
1-4-6-11-17-20,1,25/10/2021
1-4-22-39-43-45,1,14/11/2022
1-4-22-24-35-45,1,10/08/2009
1-4-17-24-40-42,1,02/04/2018
1-4-17-18-36-43,1,16/09/2013
1-7-18-27-28-33,1,07/06/2010
1-7-11-15-19-35,1,09/07/2012
1-7-11-14-31-40,1,02/08/2021
1-6-9-19-21-34,1,22/10/2018
1-6-9-13-17-18,1,15/03/2010
1-6-9-12-15-20,1,04/07/2016
1-6-8-22-24-32,1,15/05/2006
1-6-7-14-18-21,1,05/08/2019
1-6-7-11-37-39,1,18/07/2022
1-6-27-34-38-40,1,13/06/2011
1-6-21-32-38-40,1,05/09/2011
1-6-12-14-41-42,1,28/01/2019
1-6-11-32-41-44,1,02/07/2007
1-5-9-32-38-39,1,23/09/2013
1-5-9-11-12-44,1,28/03/2011
