Combination,Count,Dates
9-21-24-27.0-35-38-40,1,17/04/2012
9-20-31-32-34-39.0-40,1,25/02/2020
9-20-25-26-29-35-nan,1,01/12/1998
9-20-23-25-26-32.0-43,1,16/03/2021
9-20-22-29-31-37-nan,1,24/12/1996
9-20-21-27-32-37-nan,1,15/01/2002
9-19-29.0-30-34-40-45,1,06/07/2010
9-19-23-29-31-41-nan,1,20/06/1995
9-19-22-30-36-42-nan,1,17/11/1998
9-18-32-33-37-44-nan,1,02/07/1996
9-18-27-28-29-39-nan,1,21/05/1996
9-18-23-27-30-34-nan,1,04/05/1999
9-17-33-35-37-41-nan,1,31/08/2004
9-17-24-35-40-41-nan,1,03/01/1995
9-17-24-30-32-40-nan,1,26/06/2001
9-17-22-30-35-45-nan,1,19/06/2001
1-13-18-23-28-31-47.0,1,19/03/2024
1-13-16-19-33-39-nan,1,26/12/1995
1-13-15.0-30-35-39-40,1,08/01/2013
1-13-15.0-17-32-44-45,1,26/10/2021
1-13-15-16-28.0-33-36,1,04/06/2024
1-12-30.0-33-34-37-44,1,05/06/2012
1-12-20-24-41-44-45.0,1,12/09/2017
1-12-19-23-28-29-nan,1,01/09/1998
1-12-18-31-32-38-nan,1,26/11/2002
1-12-16-22-27-30-nan,1,15/05/2001
1-12-15-19-22.0-27-40,1,22/11/2022
1-12-15-17-23.0-24-27,1,03/01/2017
1-12-15-16-28-40-nan,1,07/07/1998
1-12-14-20-22-32-nan,1,16/12/2003
1-11-19-24-28-29.0-39,1,12/07/2016
1-11-17-19-23-34-nan,1,16/08/2005
1-17-19-23-24-38-nan,1,02/01/2001
1-16-29-30-40-42-nan,1,24/05/1994
1-16-27-29-33-38-nan,1,25/06/2002
1-16-24-25-31-35.0-36,1,10/11/2009
1-16-19-31-41-42-nan,1,15/02/2005
1-16-17-24-27-35-nan,1,22/09/1998
1-15-21.0-29-35-36-45,1,02/12/2014
1-15-18-31-33-41-nan,1,03/05/1994
1-14-25-26-30-31-35.0,1,28/05/2013
1-14-24.0-27-28-30-39,1,22/01/2013
1-14-21-27-32-39-nan,1,30/04/2002
1-14-20-31-39-44-nan,1,09/09/2003
1-14-20-21-26.0-41-44,1,29/10/2019
