Combination,Count,Dates
9.0-22-25-26-27.0-30-33,1,26/09/2019
1-10-11-18-31-nan-nan,1,11/05/2006
1-10-11.0-12-18-20.0-27,1,19/03/2020
1-10-21-35-37-nan-nan,1,22/07/2004
1-10-29-31-38-nan-nan,1,04/11/2010
1-10.0-15-19-25-35-nan,1,26/03/2015
1-10.0-16-19-27-34-nan,1,21/11/2013
1-11-12-14.0-17-19-28.0,1,03/06/2021
1-11-13-17.0-24.0-34-35,1,16/05/2019
1-11-13-35-37-nan-nan,1,22/04/2010
1-11-15-19-32-nan-nan,1,23/04/2009
9-18-22-23.0-31-34.0-35,1,18/04/2024
9-18-21-29-32-nan-nan,1,15/05/1997
9-18-21-29-30-nan-nan,1,19/09/1996
9-17-19-20-39-nan-nan,1,12/02/1998
9-16-24-25-34-nan-nan,1,17/07/2003
9-16-23-29-31-nan-nan,1,18/01/2001
9-15-34-42-45-nan-nan,1,30/05/2002
9-15-29-35-37-nan-nan,1,27/03/1997
9-15-29-31-39-nan-nan,1,20/05/2004
9-15-22-23.0-25-30.0-35,1,01/08/2019
9-15-21-22-44-nan-nan,1,13/06/2002
9-15-18-29-33-nan-nan,1,28/05/2009
9-14-26-35-45-nan-nan,1,03/10/1996
9-14-20-21-37-nan-nan,1,19/03/2009
9-14-19-22-37-nan-nan,1,14/02/2008
9-14-18-36-45-nan-nan,1,15/10/2009
1-15-33-34-41-nan-nan,1,06/01/2011
1-15-22-38-45-nan-nan,1,16/10/1997
1-15-21.0-28-30-31-33.0,1,26/01/2023
1-15-20-36-37-nan-nan,1,06/11/2008
1-15-18-28-34-nan-nan,1,29/04/1999
1-15-16-21-41-nan-nan,1,09/08/2001
1-15-16-20-26.0-29-nan,1,23/02/2017
1-14.0-18-22-30-34-nan,1,27/02/2014
1-14-29-30-33-nan-nan,1,06/12/2001
1-14-19-20-32-nan-nan,1,10/09/1998
1-14-17-22.0-26-28-33.0,1,11/06/2020
1-14-15-20-25-nan-nan,1,20/04/2000
1-14-15-17-43-nan-nan,1,16/12/1999
1-14-15-17-34-nan-nan,1,24/09/1998
1-13-20-39-44-nan-nan,1,05/10/2006
1-13-19-37-43-nan-nan,1,30/11/2000
1-2-3-12-13.0-23.0-25,1,21/11/2019
1-2-28-32-45-nan-nan,1,18/06/2009
1-2-26-30-40-nan-nan,1,20/10/2005
1-2-23-30-44-nan-nan,1,18/05/2000
1-2-17.0-19.0-22-34-35,1,13/09/2018
1-2-17-20.0-26-27-31.0,1,14/01/2021
1-2-15-34-36-nan-nan,1,03/01/2008
1-2-13-38-45-nan-nan,1,06/04/2006
1-2-12-35-39-nan-nan,1,04/09/1997
1-2-11-20-25.0-38-nan,1,05/05/2016
1-2-11-19.0-23.0-30-34,1,30/11/2023
1-19-30-36-44-nan-nan,1,19/02/2009
1-18-33-36-45-nan-nan,1,01/01/2004
1-18-19-31-33-nan-nan,1,05/02/2004
1-17-31-32-40-nan-nan,1,14/02/2013
1-16-26-32-39-nan-nan,1,14/01/1999
1-23-28-35-42-nan-nan,1,06/02/2003
1-22-34-36-42-nan-nan,1,21/03/2002
1-22-30-38-41-nan-nan,1,15/03/2007
1-21-23-34-36-nan-nan,1,22/06/2006
1-21-22-36-45-nan-nan,1,06/08/2009
1-2.0-9-12-13-14.0-18,1,16/05/2024
1-2.0-7-8-11-16.0-28,1,31/12/2020
1-2-8-19-29-nan-nan,1,03/05/2012
1-2-7-10-14-nan-nan,1,18/10/2001
1-2-5-35-43-nan-nan,1,07/10/2004
1-2-5-10-17-nan-nan,1,01/12/2005
1-2-4-26-28-nan-nan,1,31/01/2002
1-2-4-20-22-23.0-27.0,1,18/08/2022
1-2-3-8-9-nan-nan,1,25/12/2008
1-2-3-33-35-nan-nan,1,15/04/2010
1-2-3-21-38-nan-nan,1,20/07/2006
1-3.0-14.0-17-19-22-26,1,02/04/2020
1-3-9.0-13.0-17-23-32,1,03/09/2020
1-3-9-11.0-22-23-24.0,1,25/07/2019
1-3-6-12.0-16.0-18-32,1,09/05/2024
1-3-5.0-8-13-19.0-34,1,18/11/2021
1-3-5.0-11-28-39-nan,1,12/02/2015
1-3-30-36-40-nan-nan,1,29/12/2005
1-3-10-35-41-nan-nan,1,27/06/1996
1-29-36-38-42-nan-nan,1,16/11/2000
1-27-32-37-43-nan-nan,1,14/04/2011
1-26-28-40-41-nan-nan,1,08/02/2007
1-25-34-37-41-nan-nan,1,19/09/2002
1-25-32-34-39-nan-nan,1,01/04/2004
1-24-33-43-44-nan-nan,1,07/09/2000
1-24-32-33-37-nan-nan,1,25/02/2010
1-24-30-44-45-nan-nan,1,02/10/2003
1-5-10-12-27-nan-nan,1,31/05/2012
1-4.0-6-9-21-26.0-27,1,25/01/2024
1-4.0-24-25-26-37-nan,1,25/06/2015
1-4-6-15-30-36.0-nan,1,30/10/2014
1-4-6-13-36-nan-nan,1,02/02/2006
1-4-5-34-45-nan-nan,1,12/06/1997
1-4-24-25-35-nan-nan,1,23/09/2010
1-4-22-25-37-nan-nan,1,11/03/2004
1-4-18-28-40-nan-nan,1,07/01/1999
