Combination,Count,Dates
9-18-19-20-24-37-41,1,01/03/2024
9-17-30-31-34-36-44,1,28/06/2021
9-17-23-24-27-37-38,1,19/10/2022
9-17-22-24-26-27-32,1,18/08/2017
9-17-21-22-25-27-36,1,12/03/2020
9-17-20-21-27-36-37,1,11/10/2015
9-16-24-35-38-41-44,1,19/04/2022
9-16-24-33-40-41-43,1,19/03/2024
9-16-23-28-31-34-44,1,08/08/2021
9-16-22-32-36-37-42,1,03/11/2020
9-16-20-26-28-30-37,1,20/07/2016
9-16-17-23-26-33-40,1,14/11/2021
9-15-30-34-42-43-44,1,08/05/2020
9-15-24-35-37-40-42,1,11/07/2021
9-15-21-23-25-27-31,1,25/08/2017
9-15-21-22-25-33-38,1,23/08/2020
1-11-12-24-33-36-40,1,26/11/2020
1-11-12-20-27-31-34,1,25/12/2022
1-11-12-13-28-38-42,1,27/09/2022
1-11-12-13-21-25-36,1,08/01/2017
1-10-23-25-29-36-37,1,30/09/2019
1-10-22-28-36-41-44,1,06/09/2022
1-10-19-30-31-32-37,1,03/06/2018
1-10-19-23-34-37-41,1,07/04/2022
1-10-18-21-27-36-40,1,06/01/2024
1-10-17-25-27-28-29,1,24/05/2020
1-10-17-22-29-31-34,1,21/03/2018
1-10-16-20-34-35-38,1,27/09/2021
1-10-15-26-28-37-44,1,28/06/2022
1-10-15-25-37-42-43,1,30/07/2022
1-10-15-17-20-24-37,1,24/10/2020
1-10-14-23-27-36-39,1,26/12/2022
1-12-14-20-21-22-30,1,25/04/2017
1-12-14-17-22-24-42,1,21/01/2023
1-12-13-23-26-35-40,1,17/03/2021
1-12-13-14-26-33-42,1,20/04/2022
1-11-40-41-42-43-44,1,05/12/2021
1-11-28-33-36-37-42,1,07/12/2023
1-11-21-23-33-35-36,1,22/03/2016
1-11-19-20-23-30-37,1,13/09/2015
1-11-16-28-31-32-41,1,24/04/2023
1-11-16-22-25-28-32,1,03/05/2023
1-11-15-22-27-34-36,1,08/08/2016
1-11-15-21-33-36-44,1,12/08/2020
1-11-15-17-21-23-26,1,12/04/2019
1-11-13-22-23-28-34,1,07/12/2019
1-11-13-17-20-38-44,1,12/11/2022
1-11-13-16-17-21-32,1,20/08/2020
1-13-14-15-22-40-41,1,17/01/2024
1-13-14-15-16-30-33,1,27/12/2017
1-12-20-30-31-33-34,1,24/06/2018
1-12-20-21-23-31-35,1,02/01/2018
1-12-19-26-31-33-38,1,03/11/2022
1-12-19-23-30-36-44,1,28/11/2023
1-12-18-24-27-30-39,1,01/06/2022
1-12-18-24-26-28-33,1,23/11/2016
1-12-18-22-27-34-35,1,02/12/2018
1-12-18-19-28-30-34,1,05/05/2019
1-12-18-19-23-31-34,1,17/07/2018
1-12-17-32-35-39-40,1,18/01/2021
1-12-16-21-33-38-39,1,26/01/2024
1-12-15-24-25-26-36,1,09/11/2018
1-12-15-18-22-26-27,1,10/11/2015
1-12-14-26-29-42-44,1,02/01/2023
1-13-24-26-27-29-33,1,28/12/2018
1-13-20-25-27-34-39,1,18/11/2020
1-13-20-21-25-34-35,1,09/04/2022
1-13-18-22-28-31-37,1,26/08/2019
1-13-18-22-24-34-37,1,09/12/2018
1-13-17-27-31-36-39,1,23/05/2022
1-13-17-23-26-32-35,1,10/05/2018
1-13-16-19-27-32-37,1,16/08/2023
1-13-16-18-19-23-25,1,28/12/2023
1-13-16-17-22-30-37,1,13/09/2018
1-13-15-23-26-30-42,1,21/09/2022
1-13-15-21-22-40-43,1,20/04/2021
1-13-15-17-25-33-37,1,29/03/2016
1-13-15-16-20-21-43,1,07/05/2024
1-13-14-18-25-27-32,1,02/06/2018
1-13-14-18-24-33-34,1,14/09/2019
1-15-21-26-31-33-35,1,03/06/2020
1-15-20-30-33-40-42,1,05/06/2021
1-15-17-24-27-34-35,1,10/10/2020
1-15-16-24-25-37-39,1,09/03/2023
1-15-16-18-27-28-34,1,23/11/2017
1-15-16-18-20-21-24,1,24/01/2018
1-14-28-30-33-35-36,1,02/10/2016
1-14-21-23-26-33-35,1,20/02/2020
1-14-21-22-28-30-31,1,28/07/2019
1-14-19-22-28-30-41,1,09/08/2022
1-14-18-19-35-39-43,1,20/05/2024
1-14-16-27-30-31-39,1,30/01/2021
1-14-16-20-34-40-43,1,01/07/2021
1-14-16-18-21-29-33,1,07/09/2019
1-14-16-17-20-23-31,1,27/08/2015
1-14-15-26-27-38-44,1,28/11/2022
1-17-26-29-37-38-44,1,13/08/2022
1-17-22-29-31-35-36,1,12/08/2019
1-17-20-22-33-37-43,1,09/06/2024
1-17-20-21-22-24-25,1,18/07/2017
1-17-19-20-21-28-31,1,13/01/2016
1-16-23-27-30-32-36,1,03/12/2019
1-16-21-22-23-33-44,1,21/10/2023
1-16-20-25-30-33-35,1,21/07/2022
1-16-19-20-21-22-33,1,05/10/2018
1-16-17-21-38-39-40,1,20/05/2022
1-16-17-20-21-28-36,1,07/02/2020
1-16-17-18-23-27-31,1,26/02/2017
1-15-26-28-29-32-33,1,21/05/2024
1-15-25-28-32-38-43,1,23/04/2021
1-15-23-29-36-41-43,1,02/12/2022
1-15-22-27-28-29-32,1,29/12/2017
1-2-12-15-30-36-38,1,26/02/2021
1-2-12-15-23-30-34,1,21/01/2016
1-2-11-12-16-26-33,1,30/03/2023
1-2-10-28-32-36-41,1,23/01/2023
1-2-10-16-26-36-41,1,07/05/2020
1-2-10-13-17-26-37,1,11/06/2017
1-2-10-11-20-25-29,1,06/02/2020
1-19-20-31-33-34-37,1,13/12/2018
1-18-30-36-40-41-44,1,10/10/2021
1-18-24-26-29-34-37,1,03/01/2024
1-18-24-25-37-41-43,1,23/07/2020
1-18-22-29-31-32-40,1,21/12/2021
1-18-20-26-29-31-43,1,28/10/2023
1-18-19-22-24-36-41,1,19/12/2022
1-17-31-32-36-42-43,1,14/05/2022
1-17-29-31-33-40-42,1,08/06/2024
1-2-17-25-27-30-34,1,25/12/2017
1-2-17-19-25-34-44,1,28/05/2024
1-2-16-24-33-34-37,1,01/12/2019
1-2-16-23-34-35-44,1,06/11/2022
1-2-15-19-29-32-36,1,01/03/2021
1-2-15-17-29-30-42,1,04/11/2023
1-2-14-27-34-39-42,1,12/05/2021
1-2-14-24-31-36-37,1,20/12/2016
1-2-14-17-22-29-41,1,06/04/2022
1-2-14-17-20-25-26,1,29/06/2023
1-2-14-16-20-21-35,1,02/06/2019
1-2-13-21-23-28-37,1,17/06/2019
1-2-13-17-25-34-40,1,08/10/2024
1-2-13-17-23-27-36,1,01/12/2022
1-2-12-17-23-25-28,1,17/10/2020
1-2-12-16-26-29-32,1,03/05/2019
1-2-3-16-17-21-34,1,10/09/2023
1-2-3-12-24-30-34,1,12/05/2018
1-2-3-11-24-33-37,1,04/11/2017
1-2-23-27-29-31-38,1,28/07/2024
1-2-23-25-29-30-36,1,13/08/2024
1-2-23-24-27-31-43,1,30/09/2023
1-2-22-24-36-42-43,1,18/01/2022
1-2-21-22-24-25-44,1,13/02/2021
1-2-20-35-36-38-40,1,09/10/2022
1-2-20-29-33-34-36,1,06/02/2019
1-2-19-23-33-40-44,1,25/07/2022
1-2-19-21-27-30-31,1,21/07/2018
1-2-19-21-25-26-43,1,15/07/2020
1-2-18-23-26-29-36,1,05/06/2016
1-2-18-20-27-35-36,1,20/03/2024
1-2-17-28-29-31-40,1,18/07/2022
1-2-4-7-14-27-36,1,26/03/2016
1-2-4-35-37-41-43,1,24/03/2023
1-2-4-17-27-28-43,1,19/08/2021
1-2-4-14-17-22-36,1,25/09/2016
1-2-4-12-35-39-40,1,11/08/2023
1-2-3-9-15-16-26,1,22/05/2018
1-2-3-9-10-32-39,1,09/01/2023
1-2-3-8-23-25-36,1,01/06/2019
1-2-3-7-9-10-33,1,31/01/2017
1-2-3-7-12-14-44,1,21/04/2020
1-2-3-6-17-22-23,1,22/04/2017
1-2-3-6-15-19-32,1,23/01/2017
1-2-3-5-7-14-15,1,31/12/2017
1-2-3-30-36-39-43,1,28/12/2021
1-2-3-17-18-40-44,1,22/08/2021
1-2-3-16-24-28-32,1,02/07/2018
1-2-6-12-20-25-33,1,19/09/2018
1-2-6-12-14-18-25,1,05/04/2023
1-2-5-9-10-14-30,1,08/03/2019
1-2-5-8-20-28-33,1,30/06/2023
1-2-5-7-8-21-22,1,12/11/2019
1-2-5-7-31-32-34,1,03/07/2023
1-2-5-35-40-43-44,1,26/08/2024
1-2-5-25-35-37-43,1,24/06/2021
1-2-5-13-17-20-33,1,19/08/2018
1-2-4-9-28-31-37,1,13/02/2023
1-2-4-9-15-29-34,1,08/02/2019
1-2-4-9-11-17-20,1,17/03/2018
1-2-4-9-10-23-32,1,20/08/2019
1-2-4-8-10-23-24,1,27/11/2019
1-2-4-7-8-19-35,1,23/09/2017
1-2-4-7-15-26-27,1,18/05/2019
