Combination,Count,Dates
0-1-2-4-5-9,5,28/04/2018|13/12/2014|08/03/2014|16/06/2012|29/06/1991
0-1-2-5-8-9,5,08/04/2023|11/12/2021|15/08/2020|21/08/2010|30/06/2007
1-2-5-6-8-9,5,10/09/2022|11/09/2021|24/08/2019|18/03/2000|25/08/1990
1-3-4-6-6-8,5,14/11/2020|21/09/2019|06/11/2010|23/02/2008|24/03/2001
0-1-2-2-3-7,5,01/03/2008|07/10/2006|23/05/1998|17/01/1998|28/03/1987
0-1-3-6-8-9,5,05/04/1997|15/02/1997|28/12/1996|22/06/1991|14/10/1989
1-1-2-5-6-9,5,17/11/2012|09/01/2010|10/10/2009|07/07/1990|30/01/1988
3-4-7-8-9-9,4,04/11/2017|14/01/2017|06/02/1993|24/11/1990
1-2-3-3-4-6,4,05/10/2013|15/08/2009|01/07/2000|16/01/1988
2-3-5-5-6-9,4,16/11/2019|19/10/2013|01/09/2007|11/07/1987
1-3-3-5-8-9,4,02/12/2017|18/08/2012|13/11/2010|05/02/2000
0-1-5-6-8-8,4,22/05/2021|04/07/2009|05/08/1989|24/06/1989
1-2-3-7-8-9,4,28/11/2015|06/04/2002|17/08/1991|10/02/1990
1-3-4-5-6-8,4,19/06/2021|23/10/2004|19/07/2003|02/06/2001
0-1-3-5-7-9,4,20/08/2022|09/06/2018|19/02/2011|06/03/1993
0-1-3-4-6-8,4,29/11/2014|09/02/2002|06/02/1999|13/08/1988
4-5-6-8-8-9,4,16/07/2022|08/10/2016|18/10/1997|06/06/1987
0-1-2-3-9-9,4,24/03/2007|30/10/2004|13/01/2001|16/01/1993
0-1-2-5-6-8,4,01/02/2020|15/12/2018|21/10/2000|23/05/1987
2-3-4-5-7-9,4,30/03/2024|23/11/2013|11/03/2000|18/04/1998
1-2-2-3-4-8,4,01/10/2005|18/05/1996|23/01/1988|20/12/1986
1-2-4-5-8-9,4,04/03/2017|29/01/2000|27/05/1995|02/05/1987
1-2-3-5-6-7,4,27/08/2022|11/01/2014|10/04/2010|03/04/1993
1-2-6-7-8-9,4,26/01/2019|28/01/2006|07/12/2002|08/07/1995
0-2-4-5-8-9,4,26/02/2011|23/05/2009|09/04/2005|20/10/1990
0-2-4-5-7-9,4,18/09/2010|27/06/2009|21/02/2004|22/01/2000
0-3-4-5-7-8,4,13/07/2019|05/03/2011|10/12/2005|23/04/1988
1-2-4-5-9-9,4,20/01/2024|01/06/2019|08/04/2017|04/02/1995
0-2-3-4-7-8,4,10/01/2015|24/07/2010|19/04/2008|27/04/1996
1-2-2-2-4-6,4,12/03/2022|07/04/2012|12/08/2006|23/11/2002
0-3-4-6-7-9,4,12/05/1990|17/06/1989|02/04/1988|12/03/1988
1-2-5-7-8-9,3,05/12/2020|09/05/2020|30/05/2009
1-1-2-2-6-9,3,03/11/2001|09/10/1999|07/10/1995
1-1-2-3-5-6,3,02/07/2016|08/03/2008|29/04/2006
0-1-2-3-4-7,3,12/01/2008|17/12/2005|25/11/1995
1-1-2-3-6-9,3,24/03/2018|30/08/1997|02/09/1989
0-0-2-3-5-7,3,21/01/2006|27/11/2004|08/03/1997
1-3-4-5-6-9,3,17/12/2022|12/10/2019|17/09/2011
1-1-2-4-7-9,3,27/10/2001|16/06/2001|04/06/1988
0-1-1-4-7-8,3,26/04/2008|28/08/2004|17/09/1994
1-1-2-5-7-9,3,30/01/2021|15/03/2014|25/06/2011
1-1-4-5-7-9,3,25/07/2020|17/07/2004|28/08/1999
1-1-4-5-7-8,3,10/12/2016|11/05/2013|23/11/1996
1-1-4-5-6-8,3,18/11/2017|15/01/2005|07/10/1989
1-3-3-5-6-9,3,01/07/2006|07/12/1991|03/12/1988
1-1-3-4-6-9,3,18/05/2019|01/05/2010|10/07/1993
0-0-4-4-6-8,3,16/05/1998|28/02/1998|12/12/1992
1-3-3-4-5-7,3,17/01/2015|07/01/2006|31/01/2004
1-1-3-5-6-8,3,21/11/2015|12/10/2002|27/04/1991
0-0-4-5-5-9,3,27/09/2008|28/03/1998|21/07/1990
1-2-4-7-7-8,3,04/05/2024|09/09/2006|04/05/1996
0-2-2-5-7-9,3,08/07/2017|12/05/2012|29/09/2001
0-2-3-3-4-6,3,01/06/2024|18/01/2014|23/02/2002
1-4-7-7-8-9,3,18/10/2008|10/06/1995|14/05/1988
0-2-3-5-5-9,3,07/03/2015|10/07/2010|17/07/1993
0-2-3-5-8-9,3,04/12/2021|10/08/2002|04/04/1992
1-5-5-7-8-9,3,28/07/2018|28/12/2002|21/10/1995
0-2-4-4-5-8,3,03/02/2024|14/11/2015|06/10/2012
1-3-5-6-7-9,3,17/11/2007|19/08/2006|05/02/1994
1-5-6-6-7-9,3,27/03/2004|07/09/2002|21/11/1992
0-2-4-5-6-7,3,21/02/2015|15/08/1998|18/08/1990
0-2-4-8-8-9,3,26/01/2013|15/04/2006|13/05/1989
0-3-4-5-6-9,3,14/10/2023|18/06/2011|22/09/2007
0-2-5-6-6-7,3,23/07/2022|01/11/1997|04/03/1989
1-6-7-7-8-9,3,09/06/2007|18/03/1995|16/04/1994
2-2-3-4-5-8,3,19/01/2008|07/08/2004|03/01/1998
0-3-4-4-5-6,3,12/02/2022|07/01/1989|29/10/1988
0-2-4-4-6-7,3,09/02/2019|05/01/2019|30/11/1991
0-1-2-4-6-7,3,16/07/2016|14/05/2016|12/10/1996
0-1-2-5-7-8,3,03/06/2017|28/07/2007|04/11/1989
