Combination,Count,Dates
5-19-22-32-34-42,2,26/11/2008|31/01/2007
5-9-11-14-21-39,2,26/01/2022|23/04/2014
4-6-8-18-32-42,1,29/01/2014
4-6-9-26-36-45,1,04/08/2010
4-7-10-14-26-28,1,16/02/2022
4-7-10-18-33-40,1,03/05/2006
4-7-14-18-24-43,1,31/07/2013
4-7-14-26-27-45,1,09/08/2017
4-7-14-30-34-42,1,22/05/2019
4-7-17-20-38-39,1,29/04/2020
4-7-19-34-38-43,1,25/07/2012
4-7-22-24-35-38,1,17/03/2021
4-7-23-28-36-41,1,25/04/2018
4-7-26-35-37-43,1,09/09/2020
4-7-27-33-36-45,1,24/01/2018
4-8-28-35-37-45,1,16/06/2010
4-7-8-9-11-33,1,19/10/2011
4-8-10-39-42-44,1,06/07/2022
4-8-12-18-23-38,1,20/10/2010
4-8-12-32-35-43,1,13/05/2009
4-8-13-20-31-37,1,23/02/2022
4-8-14-17-36-44,1,09/03/2022
4-8-18-20-21-45,1,29/07/2020
4-8-19-33-37-39,1,06/10/2021
4-8-20-30-39-45,1,19/09/2007
4-8-21-25-26-34,1,18/03/2015
4-8-23-31-39-41,1,05/10/2011
4-8-24-32-40-42,1,17/11/2021
4-8-25-27-33-35,1,11/11/2015
4-7-8-10-21-33,1,21/01/2009
4-16-23-30-36-38,1,18/08/2010
4-17-18-23-30-43,1,28/01/2009
4-17-19-31-35-45,1,16/04/2008
4-18-20-24-35-36,1,14/09/2016
4-18-20-31-37-41,1,09/12/2009
4-18-23-28-41-42,1,15/05/2024
4-18-24-29-31-34,1,28/03/2018
4-20-21-27-29-37,1,07/11/2007
4-20-21-27-30-31,1,18/11/2015
4-20-23-25-26-43,1,29/09/2021
4-20-24-26-30-33,1,11/10/2023
4-21-23-26-29-31,1,27/09/2006
4-23-25-38-40-42,1,23/02/2011
4-6-21-35-37-40,1,25/11/2020
4-5-10-20-24-26,1,22/06/2016
4-5-13-26-32-37,1,27/12/2006
4-5-14-15-35-41,1,27/09/2023
4-5-15-19-21-29,1,08/01/2014
4-5-16-40-42-45,1,06/02/2013
4-5-18-19-36-37,1,15/12/2010
4-5-30-39-40-45,1,28/09/2016
4-5-6-10-36-39,1,24/11/2021
4-5-7-10-19-45,1,03/04/2019
4-5-8-19-34-37,1,26/07/2017
4-6-11-24-28-43,1,05/04/2017
4-6-15-20-41-44,1,11/07/2012
4-6-19-25-30-32,1,15/01/2020
4-6-20-38-39-43,1,09/02/2011
4-28-30-41-43-45,1,05/02/2014
5-11-14-29-32-44,1,01/06/2011
5-11-14-37-41-45,1,12/02/2020
5-11-17-21-30-35,1,15/02/2023
5-11-18-25-27-30,1,17/05/2017
5-11-23-30-38-45,1,14/01/2009
5-11-39-41-43-44,1,02/11/2011
5-12-18-19-42-44,1,29/06/2011
5-12-19-21-38-45,1,21/02/2018
5-12-30-33-38-40,1,14/03/2012
5-12-35-36-40-45,1,27/04/2011
5-13-14-24-29-35,1,01/07/2015
5-13-14-25-38-43,1,13/01/2021
5-13-17-19-35-45,1,16/05/2007
4-8-29-42-44-45,1,06/08/2008
5-13-19-22-37-39,1,28/10/2015
5-13-31-38-42-45,1,17/10/2018
5-14-16-23-26-30,1,07/11/2012
