Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount,Division 7 winners,Division 7 winners in WA,Division 7 prize pool,Division 7 amount,Division 8 winners,Division 8 winners in WA,Division 8 prize pool,Division 8 amount,Division 9 winners,Division 9 winners in WA,Division 9 prize pool,Division 9 amount
1144,2018-04-19,9,5,32,13,33,4,25,7,1,0,8000000,8000000,1,0,187055.7,187055.7,26,1,114311.6,4396.6,436,74,207841.2,476.7,936,132,155890.8,166.55,14624,2064,1008324.8,68.95,17999,2636,790156.1,43.9,94090,13137,1557189.5,16.55,276414,39177,2736498.6,9.9
1145,2018-04-26,14,35,34,15,24,19,9,12,0,0,0,0,1,0,124507.75,124507.75,15,0,76088.25,5072.55,331,35,138341.45,417.95,624,63,103771.2,166.3,9145,1204,670785.75,73.35,11731,1557,525548.8,44.8,60060,8091,1039038,17.3,178517,23967,1820873.4,10.2
1146,2018-05-03,19,20,6,1,24,3,16,13,0,0,0,0,3,1,172854.6,57618.2,22,3,105633,4801.5,350,58,192062.5,548.75,955,107,144061.75,150.85,13514,1779,931790.3,68.95,17022,2384,730243.8,42.9,87017,11416,1440131.35,16.55,254619,33564,2520728.1,9.9
1147,2018-05-10,6,24,15,14,26,32,35,14,0,0,0,0,4,1,192838.2,48209.55,26,2,117845,4532.5,355,48,214260.25,603.55,988,143,160698.2,162.65,14529,2077,1038823.5,71.5,17634,2399,813809.1,46.15,91712,12693,1604960,17.5,266940,36104,2816217,10.55
1148,2018-05-17,9,26,16,34,3,31,25,9,0,0,0,0,4,1,283884,70971,48,6,173484,3614.25,543,83,315428.7,580.9,1550,240,236607.5,152.65,22164,3256,1529316,69,28478,4267,1198923.8,42.1,137439,20512,2363950.8,17.2,399744,58714,4157337.6,10.4
1149,2018-05-24,12,14,2,18,23,19,25,17,0,0,0,0,6,1,396968.4,66161.4,59,8,242590.3,4111.7,1012,134,441080.2,435.85,2151,313,330823.8,153.8,30420,4499,2138526,70.3,40057,5748,1676385.45,41.85,190060,27912,3307044,17.4,549170,80897,5793743.5,10.55
1150,2018-05-31,29,18,9,27,30,8,32,6,0,0,0,0,3,1,502972.5,167657.5,71,6,307373.2,4329.2,1279,162,558859.05,436.95,2758,445,419078.1,151.95,38843,6198,2711241.4,69.8,52978,7815,2124417.8,40.1,242947,37608,4190835.75,17.25,701041,106669,7360930.5,10.5
1151,2018-06-07,34,30,14,32,22,24,23,9,1,0,50000000,50000000,8,1,619247.2,77405.9,82,9,378430,4615,1416,273,688034.4,485.9,3223,468,516002.3,160.1,46600,7185,3336560,71.6,58813,9098,2614237.85,44.45,295871,45783,5162948.95,17.45,859600,130979,9068780,10.55
1152,2018-06-14,29,6,16,2,7,31,14,15,1,0,3000000,3000000,2,0,130754.1,65377.05,15,2,79905,5327,247,40,145285.4,588.2,598,83,108955.6,182.2,9187,1257,704642.9,76.7,12191,1649,552252.3,45.3,61056,8355,1089849.6,17.85,179273,24533,1909257.45,10.65
1153,2018-06-21,2,24,5,31,13,9,35,16,0,0,0,0,1,0,124332.9,124332.9,13,3,75981.1,5844.7,275,20,138146.25,502.35,622,84,103625.2,166.6,9229,1210,670025.4,72.6,12682,1702,525034.8,41.4,57385,7454,1035799.25,18.05,166875,22035,1818937.5,10.9
